pattern,Label
"VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR 'VAR""",Safe
"VAR VAR'VAR VAR VAR...) VAR VAR VAR VAR-VAR-VAR-VAR VAR-VAR VAR VAR VAR VAR VAR VAR VAR AND VAR""",Safe
"NULL ) AND ( STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR ) COMMENT VAR""",Attack
"""",Attack
"VAR VAR VAR VAR VAR VAR. VAR.""",Safe
"VAR IS NOT VAR VAR OR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"NUM ) AND STR EQ '""",Attack
"VAR~VAR~VAR|VAR GT *VAR STR VAR ( SELECT ( VAR VAR ( NUM EQ NUM ) VAR NUM VAR VAR VAR ) ) AND STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR... STR VAR'VAR LIKE VAR VAR VAR VAR*/VAR ( NUM / NUM ) ) ) ) AND ( NUM EQ NUM """,Attack
"AND VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR NOT VAR VAR VAR VAR""",Safe
"VAR VAR VAR/VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR STR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR? VAR. VAR""",Safe
"AND VAR VAR VAR VAR VAR. VAR VAR VAR STR VAR VAR STR VAR VAR VAR VAR VAR VAR VAR AND """,Safe
"NUM COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR""",Safe
"NUM ) COMMENT """,Attack
"NUM ) AND ( ( ( NUM EQ NUM """,Attack
"AND VAR VAR VAR VAR VAR VAR'VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR/""",Safe
"VAR NUM -VAR VAR VAR VAR VAR STR VAR VAR. STR VAR VAR VAR: VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR COMMENT VAR VAR VAR COMMENT VAR VAR VAR VAR STR VAR VAR STR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR.""",Safe
"`-VAR+VAR VAR[ COMMENT VAR EQ . LT -~%VAR. GT VAR?VAR$VAR- NUM COMMENT *}VAR]VAR EQ VAR\[VAR LT COMMENT VAR%VAR$^VAR[VAR%?VAR?VAR$/VAR}@(VAR!^VAR[ NUM VAR VAR STR COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) ) +'""",Attack
"NUM EQ NUM """,Attack
"VAR VAR VAR NOT VAR VAR ... VAR VAR VAR """,Safe
"VAR""",Safe
"VAR NOT VAR. VAR VAR""",Safe
"VAR VAR VAR ) AND ( ( ( STR VAR STR LIKE STR VAR""",Attack
"NULL COMMENT """,Attack
"NUM ) ) ) AND ( ( STR EQ 'VAR""",Attack
"VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR OR VAR. VAR AND VAR VAR VAR VAR VAR VAR VAR AND VAR VAR""",Safe
"NUM ) ) ) """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR ) AND ( ( STR VAR STR EQ STR VAR""",Attack
"VAR AND VAR VAR. VAR """,Safe
NUM ) TAUTOLOGY,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR'VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR-VAR*/VAR NUM COMMENT """,Attack
"NUM COMMENT """,Attack
"VAR ( VAR ) ) AND ( ( STR EQ 'VAR""",Attack
"NUM ) ) ) ) +'""",Attack
"NUM COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( NUM EQ NUM """,Attack
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR IS VAR VAR VAR VAR VAR IS VAR VAR VAR VAR VAR'VAR VAR.""",Safe
"NUM COMMENT """,Attack
"VAR COMMENT )/ .)VAR +'""",Attack
"VAR'VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR. AND VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR-""",Safe
"VAR VAR VAR VAR VAR""",Safe
"VAR VAR STR VAR VAR""",Safe
"NUM COMMENT """,Attack
"NUM ) ) ||'""",Attack
"NUM ) COMMENT """,Attack
